# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-141620 050Mg 500NaCl #009-001
# Original file ID: 96D00DE0-57C0-477D-98CC-1092F603FAF0
Bead-to-bead distance (um),Force (pN)
17.715,3.0931
17.73,3.0001
17.73,3.0706
17.752,3.0298
17.759,3.1478
17.761,3.1554
17.772,3.1252
17.788,3.225
17.792,3.1351
17.791,3.0787
17.783,3.2815
17.806,3.332
17.815,3.2704
17.821,3.3746
17.838,3.3321
17.839,3.508
17.834,3.272
17.844,3.5286
17.863,3.4876
17.876,3.3434
17.878,3.6688
17.892,3.4408
17.891,3.4966
17.908,3.5543
17.909,3.5088
17.934,3.5713
17.931,3.7537
17.948,3.5707
17.953,3.4652
17.96,3.8277
17.968,3.6617
17.977,3.7097
17.985,3.718
17.987,3.6005
17.999,3.9963
18.022,3.9241
18.022,3.7607
18.038,4.0383
18.039,3.9433
18.033,3.9152
18.047,4.0454
18.066,3.9962
18.079,4.2793
18.075,4.0811
18.103,4.1198
18.115,4.0885
18.107,4.2315
18.132,4.1352
18.133,4.2243
18.131,4.3227
18.134,4.4086
18.144,4.4191
18.154,4.3639
18.166,4.4065
18.166,4.5265
18.183,4.7069
18.192,4.6895
18.204,4.676
18.207,4.5624
18.222,4.6658
18.225,4.5797
18.23,4.6247
18.241,4.6398
18.247,4.78
18.256,4.6674
18.256,4.559
18.26,4.8571
18.257,4.5704
18.27,4.6505
18.282,4.7459
18.297,4.8598
18.31,4.8176
18.313,4.9842
18.323,4.8182
18.332,5.0054
18.327,5.0533
18.347,5.1368
18.354,5.0773
18.363,4.9394
18.364,5.1176
18.363,5.0115
18.391,5.0988
18.394,5.3304
18.406,5.2689
18.419,5.2516
18.412,5.3723
18.431,5.3679
18.445,5.409
18.446,5.4644
18.457,5.5756
18.466,5.5122
18.46,5.5467
18.48,5.8077
18.497,5.6573
18.498,6.0513
18.508,6.0066
18.518,5.8915
18.515,5.9336
18.519,6.0549
18.508,6.1819
18.533,6.2292
18.547,6.1869
18.556,6.0214
18.569,6.1785
18.573,6.2909
18.587,6.7001
18.59,6.549
18.598,6.547
18.605,6.5195
18.611,6.3757
18.626,6.6581
18.607,6.8486
18.624,6.7316
18.625,6.9355
18.643,6.9841
18.645,7.0184
18.663,7.198
18.661,7.1154
18.672,7.1775
18.68,7.214
18.691,7.704
18.69,7.6945
18.712,7.8479
18.728,7.7978
18.718,7.7517
18.745,7.834
18.74,7.9828
18.748,8.1787
18.747,8.3485
18.745,8.2267
18.759,8.5824
18.777,8.627
18.785,8.6889
18.808,8.7735
18.791,9.0314
18.82,8.7648
18.812,9.3557
18.82,9.3261
18.834,9.4295
18.83,9.4745
18.862,9.6092
18.848,9.7576
18.856,9.6193
18.865,9.8628
18.864,9.9385
18.865,9.8636
18.877,10.251
18.876,10.366
18.897,10.583
18.901,10.626
18.911,10.798
18.917,11.005
18.928,11.056
18.928,11.385
18.951,11.738
18.947,11.603
18.96,11.663
18.96,11.996
18.99,12.083
19.004,12.17
19.002,12.561
18.998,12.6
19.009,12.663
19.012,13.126
19.024,13.054
19.035,13.437
19.04,13.631
19.051,13.798
19.059,14.105
19.065,14.294
19.077,14.753
19.08,14.455
19.094,15.04
19.095,14.953
19.103,14.901
19.105,15.151
19.111,15.479
19.12,15.777
19.12,15.839
19.132,16.085
19.141,16.445
19.137,16.646
19.153,17.043
19.156,16.994
19.169,17.565
19.169,17.939
19.184,17.985
19.197,17.97
19.199,18.404
19.198,18.638
19.205,18.695
19.211,19.195
19.224,19.188
19.232,19.759
19.235,20.232
19.249,20.28
19.261,20.712
19.26,20.929
19.271,21.399
19.272,21.431
19.282,21.832
19.293,22.068
19.305,22.322
19.308,22.574
19.317,22.7
19.324,22.941
19.32,23.174
19.328,23.525
19.335,23.947
19.334,24.516
19.35,24.593
19.363,25.048
19.361,25.263
19.374,25.362
19.381,25.741
19.38,26.033
19.385,26.662
19.397,26.89
19.41,27.42
19.397,27.294
19.424,27.287
19.407,27.339
19.424,28.075
19.421,28.215
19.414,28.303
19.436,29.098
19.442,29.574
19.457,29.712
19.467,30.228
19.467,30.394
19.482,31.102
19.477,31.176
19.491,31.636
19.48,31.793
19.506,32.314
19.506,32.521
19.498,32.607
19.505,32.885
19.505,33.288
19.504,33.621
19.523,34.123
19.529,35.063
19.535,35.071
19.544,35.337
19.55,35.723
19.549,36.626
