# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-144939 150Mg 500NaCl #001-001
# Original file ID: 20487637-621C-4FA4-AA35-866E65754ECD
Bead-to-bead distance (um),Force (pN)
17.851,3.5986
17.855,3.2497
17.866,3.5154
17.873,3.5122
17.881,3.4559
17.895,3.7453
17.91,3.6996
17.913,3.7983
17.93,3.6501
17.925,3.8063
17.947,3.7057
17.943,3.8373
17.962,3.8222
17.977,3.6782
17.981,3.8701
17.996,3.6551
17.999,3.7288
18.008,4.0801
18.017,4.1612
18.022,4.1629
18.038,3.9682
18.033,4.0944
18.053,4.1022
18.067,4.1112
18.071,4.0565
18.088,4.1973
18.094,4.1833
18.104,3.9879
18.11,4.2275
18.117,4.255
18.13,4.3524
18.126,4.1374
18.133,4.1624
18.144,4.2477
18.143,4.1012
18.162,4.2996
18.178,4.4424
18.183,4.3766
18.197,4.5077
18.2,4.3952
18.2,4.4367
18.21,4.616
18.225,4.7907
18.236,4.6962
18.24,4.5592
18.253,4.799
18.259,4.6068
18.256,4.5765
18.257,4.4212
18.275,4.6454
18.276,4.7564
18.287,4.7045
18.301,4.9418
18.314,4.7323
18.316,4.8697
18.332,4.9885
18.334,4.9093
18.35,4.8943
18.354,4.8558
18.369,4.8305
18.369,4.8599
18.383,4.8467
18.39,4.9473
18.388,5.0737
18.398,5.1144
18.405,4.9136
18.413,5.3134
18.427,5.4805
18.442,5.5788
18.443,5.2793
18.46,5.5171
18.461,5.4825
18.478,5.3931
18.481,5.4418
18.496,5.3859
18.494,5.4385
18.496,5.3087
18.495,5.4803
18.511,5.6329
18.514,5.5784
18.519,5.5497
18.538,5.5733
18.552,5.6375
18.55,5.7962
18.569,5.7826
18.567,5.8862
18.586,6.1461
18.586,6.1127
18.597,6.0179
18.603,6.1404
18.617,6.2202
18.622,6.2356
18.631,6.3504
18.64,6.208
18.637,6.3153
18.645,6.4707
18.655,6.525
18.655,6.586
18.672,6.7677
18.689,6.6729
18.688,6.6782
18.704,6.7211
18.708,6.7723
18.712,6.9443
18.708,7.2344
18.714,7.3497
18.732,7.2086
18.742,7.2581
18.743,7.066
18.759,7.3255
18.762,7.5615
18.759,7.7256
18.771,7.8117
18.787,7.9276
18.794,7.8109
18.806,7.9861
18.808,8.0548
18.82,8.1248
18.829,8.3433
18.833,8.4034
18.846,8.4025
18.852,8.5896
18.862,8.6945
18.866,8.6001
18.877,8.9202
18.882,8.7942
18.896,8.8966
18.896,9.0591
18.896,9.0342
18.907,9.237
18.913,9.3219
18.909,9.3593
18.917,9.6313
18.928,9.7836
18.932,9.9412
18.942,10.145
18.961,10.147
18.962,10.244
18.98,10.587
18.98,10.636
18.995,10.792
18.997,10.801
19.006,10.844
19.01,11.072
19.013,11.235
19.014,11.309
19.03,11.51
19.028,11.575
19.046,11.723
19.044,11.788
19.06,12.267
19.063,12.239
19.073,12.403
19.076,12.672
19.089,12.856
19.094,13.371
19.102,13.402
19.116,13.538
19.121,13.855
19.129,13.717
19.141,14.144
19.139,14.173
19.154,14.626
19.156,14.772
19.167,15.192
19.182,15.48
19.182,15.36
19.192,15.795
19.198,16.279
19.206,16.184
19.216,16.566
19.218,16.555
19.23,16.677
19.231,16.935
19.233,17.109
19.246,17.5
19.244,17.766
19.258,18.22
19.267,18.357
19.274,18.722
19.279,18.859
19.29,19.25
19.29,19.138
19.302,19.242
19.304,19.721
19.305,20.39
19.316,20.563
19.328,20.784
19.329,20.882
19.341,20.88
19.341,20.888
19.341,21.151
19.343,21.629
19.343,22.232
19.36,21.999
19.374,22.706
19.375,22.84
19.388,23.096
19.389,23.328
19.402,23.903
19.405,24.211
19.407,24.343
19.416,24.646
19.42,25.007
19.427,25.327
19.43,25.375
19.441,25.372
19.443,25.858
19.445,26.282
19.455,26.621
19.458,26.839
19.466,27.151
19.469,27.685
19.477,27.857
19.485,28.7
19.488,29.035
19.503,29.339
19.508,29.674
19.512,29.872
19.529,30.049
19.524,29.903
19.522,30.534
19.526,30.685
19.535,31.18
19.538,31.844
19.548,32.318
19.557,32.568
19.563,33.095
19.566,33.212
19.575,33.753
19.574,33.493
19.591,34.404
19.59,34.467
19.6,35.004
19.603,35.618
19.609,35.254
