# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-133004 050Mg 500NaCl #001-001
# Original file ID: F63FE83C-F34E-47A6-8137-5F22A6D5C57B
Bead-to-bead distance (um),Force (pN)
17.798,1.4515
17.815,1.3209
17.813,1.5189
17.816,1.5362
17.824,1.5947
17.831,1.5194
17.839,1.6199
17.853,1.7163
17.869,1.6916
17.866,1.5554
17.888,1.513
17.886,1.6184
17.899,1.5993
17.906,1.6488
17.919,1.884
17.922,1.8706
17.931,1.6856
17.938,1.8816
17.949,1.7341
17.958,1.8271
17.96,1.7288
17.957,1.8118
17.976,2.2184
17.978,2.019
17.992,1.9811
17.996,1.9278
18.005,2.2676
18.011,2.1421
18.018,1.8499
18.032,2.0905
18.032,2.2127
18.037,2.1164
18.047,2.1578
18.053,1.9673
18.068,2.1137
18.068,2.4405
18.082,2.6125
18.097,2.3127
18.102,2.4403
18.112,2.755
18.122,2.2614
18.128,2.502
18.14,2.5538
18.145,2.3951
18.16,2.7526
18.161,2.5894
18.175,2.6392
18.178,2.7132
18.195,2.7348
18.195,2.6297
18.195,2.699
18.209,2.8519
18.213,2.7386
18.224,2.6748
18.238,2.7436
18.252,2.6767
18.254,2.9005
18.25,2.7965
18.269,2.8226
18.288,2.9605
18.29,2.8638
18.304,3.0297
18.307,3.0541
18.317,3.2599
18.332,2.9317
18.347,3.1137
18.342,3.0417
18.347,3.1758
18.365,3.2179
18.381,3.2871
18.38,3.3284
18.396,3.3314
18.398,3.4539
18.41,3.3806
18.414,3.4474
18.429,3.2901
18.435,3.8298
18.445,3.4498
18.453,3.6219
18.455,3.6085
18.471,3.6038
18.471,3.678
18.49,3.5587
18.491,3.6661
18.49,3.6724
18.499,3.5661
18.509,3.7869
18.511,3.957
18.526,3.95
18.524,4.0755
18.529,4.0401
18.546,4.0283
18.542,4.0949
18.562,4.0013
18.564,4.2201
18.571,4.2875
18.593,4.4623
18.6,4.143
18.596,4.439
18.601,4.4636
18.616,4.3427
18.618,4.5408
18.632,4.6314
18.649,4.7104
18.652,4.7642
18.66,4.8231
18.667,4.919
18.675,4.9591
18.683,4.9407
18.692,5.0458
18.701,5.1901
18.707,5.2302
18.721,5.3754
18.719,5.2648
18.718,5.5284
18.735,5.4973
18.737,5.5502
18.745,5.573
18.759,5.8019
18.769,5.6982
18.767,5.8719
18.77,5.7553
18.767,5.9714
18.787,5.9171
18.799,6.0571
18.804,6.0335
18.817,6.368
18.82,6.5071
18.83,6.5685
18.839,6.4225
18.836,6.6114
18.836,6.4759
18.842,6.5848
18.857,6.8497
18.869,6.9506
18.874,7.0825
18.885,7.2592
18.889,7.2375
18.898,7.3554
18.902,7.5693
18.911,7.6017
18.921,7.7188
18.924,7.834
18.945,8.0075
18.956,7.8413
18.959,8.0407
18.957,7.9609
18.955,8.2874
18.972,8.3819
18.981,8.3518
18.987,8.974
18.994,8.5667
19.003,9.0777
19.004,9.143
19.018,9.2905
19.02,9.4184
19.036,9.4516
19.038,9.7095
19.051,9.964
19.053,9.8397
19.062,10.008
19.07,9.9186
19.068,10.155
19.078,10.306
19.088,10.762
19.09,10.741
19.1,11.21
19.1,11.056
19.119,11.034
19.116,11.451
19.115,11.387
19.129,11.773
19.133,11.822
19.138,11.926
19.147,12.003
19.148,11.925
19.148,12.338
19.148,12.253
19.157,12.66
19.165,13.074
19.175,13.114
19.188,13.394
19.194,13.605
19.2,13.778
19.211,13.906
19.218,14.242
19.224,14.731
19.226,14.554
19.236,14.875
19.237,15.094
