# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-134627 050Mg 500NaCl #004-001
# Original file ID: C0FE0590-2B23-4112-B078-AA679FC5B3A8
Bead-to-bead distance (um),Force (pN)
17.828,1.8768
17.842,2.0605
17.847,2.1393
17.865,2.1147
17.864,2.2347
17.862,2.2436
17.88,2.2865
17.881,2.3378
17.892,2.2072
17.91,2.3727
17.916,2.1622
17.923,2.155
17.936,2.5872
17.936,2.3812
17.944,2.3842
17.961,2.4238
17.973,2.1651
17.974,2.3573
17.988,2.3591
17.992,2.307
18.005,2.4162
18.009,2.5248
18.008,2.5558
18.004,2.4777
18.025,2.4703
18.039,2.4121
18.043,2.4845
18.058,2.6189
18.065,2.8099
18.073,2.5436
18.082,2.5223
18.085,2.5894
18.101,2.6549
18.103,2.7819
18.116,2.694
18.115,2.7689
18.115,2.7694
18.133,2.6702
18.135,2.7644
18.151,2.8653
18.162,2.7556
18.173,3.1882
18.18,2.8666
18.191,2.742
18.189,2.8951
18.195,3.1743
18.209,2.9524
18.228,3.1053
18.227,3.0303
18.245,3.1462
18.246,3.0696
18.254,3.0019
18.264,3.2819
18.266,3.2782
18.264,3.2415
18.282,3.343
18.286,3.2327
18.3,3.4363
18.302,3.3918
18.318,3.5618
18.319,3.3325
18.335,3.4993
18.337,3.5174
18.356,3.4534
18.357,3.6602
18.372,3.5089
18.373,3.5454
18.375,3.4521
18.386,3.7209
18.391,3.5604
18.395,3.7131
18.407,3.6308
18.41,3.7024
18.429,3.7168
18.443,3.735
18.445,3.8942
18.461,4.0738
18.463,3.9496
18.478,3.8437
18.48,4.1371
18.495,3.9565
18.499,4.175
18.509,3.9469
18.517,4.0445
18.519,4.2634
18.521,3.9854
18.537,4.2796
18.536,4.3496
18.552,4.3906
18.551,4.5405
18.57,4.4856
18.57,4.4209
18.585,4.6221
18.587,4.6082
18.588,4.6967
18.601,4.7388
18.613,4.5303
18.622,4.8454
18.622,4.7752
18.629,4.7135
18.643,4.9242
18.643,4.7535
18.641,5.1729
18.64,5.2392
18.657,5.1517
18.669,5.2565
18.673,5.4803
18.688,5.2472
18.691,5.3294
18.701,5.595
18.712,5.7234
18.716,5.6833
18.727,5.7101
18.731,5.9291
18.743,5.709
18.743,6.0045
18.747,6.0635
18.762,6.0798
18.763,6.3139
18.775,6.3298
18.778,6.4646
18.794,6.5308
18.803,6.6707
18.809,6.7544
18.819,6.7571
18.819,6.9253
18.822,7.0105
18.836,7.241
18.836,7.1074
18.851,7.0947
18.852,6.9287
18.853,7.3291
18.851,7.0727
18.861,7.6141
18.872,7.6417
18.878,7.9624
18.889,8.0009
18.902,7.9921
18.906,8.1142
18.92,8.4125
18.919,8.2351
18.936,8.5135
18.936,8.5527
18.953,8.8585
18.954,8.815
18.968,8.8031
18.967,8.8814
18.971,9.0751
18.973,9.1732
18.989,9.6341
18.988,9.4496
19.003,9.668
19.004,9.8709
19.019,9.9119
19.02,10.3
19.031,10.484
19.046,10.554
19.05,10.569
19.061,10.676
19.07,10.859
19.069,10.875
19.071,11.185
19.072,11.335
19.084,11.718
19.087,11.95
19.097,11.845
19.115,12.138
19.116,12.29
19.131,12.813
19.13,12.636
19.143,13.084
19.149,13.187
19.156,13.496
19.163,13.65
19.17,13.284
19.176,13.655
19.178,13.893
19.181,13.982
19.192,14.434
19.196,14.962
19.21,14.815
19.22,15.328
19.223,15.209
19.239,15.901
19.237,15.896
19.248,16.225
19.251,16.484
19.261,16.504
19.264,16.511
19.267,16.787
19.267,16.942
19.271,17.111
19.281,17.636
19.282,18.045
19.296,18.01
19.307,18.717
19.311,18.535
19.318,19.044
19.324,18.989
19.333,19.557
19.34,19.499
19.345,20.079
19.353,20.31
19.358,20.363
19.368,20.853
19.37,20.661
19.381,20.758
19.382,21.608
19.381,21.5
19.397,22.014
19.396,22.455
19.408,22.761
19.413,23.206
19.425,23.427
19.429,23.262
19.436,23.397
19.439,23.457
19.437,23.91
19.438,24.703
19.448,24.594
19.462,25.315
19.461,25.3
19.475,25.474
19.477,25.732
19.475,26.246
19.48,26.752
19.496,26.984
19.505,27.653
19.508,27.542
19.517,28.218
19.52,28.098
19.53,28.821
19.531,28.788
19.544,29.607
19.545,29.499
19.554,30.3
19.558,30.484
19.569,30.525
19.575,30.568
19.569,31.109
19.577,31.302
19.585,31.88
19.588,31.947
19.598,32.511
19.599,32.666
19.613,33.374
19.61,33.873
19.618,34.395
19.631,34.666
19.635,35.093
19.643,35.231
19.651,36.028
19.655,35.801
19.666,36.792
19.665,36.783
19.676,36.673
19.675,37.081
19.676,37.541
19.683,37.714
19.69,38.374
19.696,38.782
19.706,39.436
19.706,39.335
19.715,40.186
19.719,40.282
19.731,40.935
19.732,41.009
19.746,40.939
19.745,41.4
19.746,41.793
19.755,41.732
19.758,41.914
19.758,42.676
19.762,42.789
19.772,43.703
19.774,44.366
19.785,44.512
19.799,45.142
19.8,45.145
19.814,45.938
19.814,46.08
19.825,46.62
19.827,46.849
19.836,47.182
19.844,47.88
19.846,48.1
19.854,48.556
19.857,48.558
19.871,48.57
19.872,49.199
19.869,49.23
19.882,49.818
19.887,50.008
19.895,50.515
19.898,50.874
19.909,51.142
19.912,51.422
19.917,51.607
19.928,51.739
19.928,52.484
19.931,52.337
19.943,53.137
19.943,53.205
19.959,53.842
19.959,54.301
19.974,54.409
19.981,54.89
19.99,55.104
19.994,55.319
20.004,55.649
20.004,55.765
20.018,56.232
20.023,56.625
20.036,57.172
20.034,57.052
20.05,57.602
20.051,57.46
20.068,57.39
20.064,57.966
20.064,58.275
20.079,58.392
20.081,58.671
20.093,59.002
20.096,59.187
20.103,59.7
20.118,59.792
20.127,59.393
20.13,59.832
20.132,60.121
20.144,60.548
20.146,60.556
20.161,60.916
20.172,61.157
20.18,61.308
20.184,61.432
20.194,61.427
20.195,61.566
20.198,61.999
20.212,62.158
20.207,61.953
20.227,62.64
20.227,62.558
20.242,62.691
20.243,62.518
20.252,62.661
20.261,62.719
20.273,62.919
20.282,63.21
20.291,63.208
20.295,63.359
20.303,63.433
20.311,63.708
20.312,63.755
20.313,63.588
20.33,63.939
20.33,64.24
20.341,64.202
20.341,64.277
20.344,64.476
20.35,64.379
20.364,64.303
20.369,64.523
20.379,64.276
20.384,64.861
20.4,64.582
20.413,64.95
20.412,64.525
20.427,64.652
20.429,64.946
20.426,64.889
20.441,65.197
20.447,65.184
20.452,65.195
20.464,65.274
20.473,65.445
20.482,65.395
20.488,65.427
20.501,65.87
20.502,65.6
20.512,65.885
20.516,65.743
20.53,66.008
20.533,66.172
20.545,66.422
20.549,66.193
20.547,66.057
20.554,66.077
20.567,66.15
20.569,65.948
20.583,65.907
20.584,65.933
20.586,66.128
20.6,66.05
20.6,65.985
20.615,66.062
20.618,66.41
20.631,66.413
20.642,66.458
20.653,66.898
20.658,66.733
20.667,66.782
20.668,66.561
20.669,66.812
20.686,66.662
20.685,66.841
20.702,66.711
20.705,66.516
20.716,66.995
20.726,66.849
20.732,66.895
20.743,66.573
20.746,67.125
20.759,67.071
20.761,67.127
20.776,66.783
20.774,66.901
20.793,66.733
20.793,66.906
20.796,67.117
20.809,66.928
20.812,66.995
20.822,66.993
20.83,66.999
20.831,66.984
20.836,67.303
20.849,66.992
20.852,66.972
20.867,67.192
20.871,67.303
20.884,66.884
20.883,67.121
20.904,67.056
20.906,67.18
20.905,67.453
20.92,67.217
20.926,67.452
20.942,67.302
20.944,67.376
20.955,67.228
20.96,67.191
20.976,67.31
20.979,67.251
20.997,67.372
20.996,67.35
21.012,67.385
21.016,67.327
21.028,67.289
21.033,67.097
21.043,67.052
21.051,67.155
21.053,67.137
21.055,67.493
21.073,67.019
21.071,67.4
21.092,67.296
21.091,67.47
21.094,67.322
21.107,67.46
21.109,67.36
21.125,67.613
21.127,67.417
21.135,67.331
21.155,67.498
21.166,67.398
21.171,67.544
21.184,67.101
21.185,67.498
21.185,67.407
21.199,67.486
21.203,67.506
21.217,67.335
21.222,67.265
21.234,67.481
21.241,67.231
21.251,67.04
21.26,67.414
21.269,67.346
21.278,67.462
21.28,66.999
21.299,67.298
21.299,67.46
21.314,67.5
21.313,67.665
21.314,67.131
21.325,67.41
21.336,67.801
21.342,67.399
21.351,67.519
21.348,67.257
21.359,67.159
21.374,67.374
21.376,67.365
21.391,67.478
21.392,67.552
21.409,67.381
21.426,67.694
21.428,67.207
21.44,67.216
21.448,67.557
21.448,67.402
21.455,67.636
21.464,67.417
21.472,67.302
21.482,67.754
21.491,67.428
21.503,67.548
21.506,67.647
21.522,67.252
21.521,67.436
21.54,67.568
21.539,67.594
21.559,67.598
21.557,67.443
21.568,67.541
21.577,67.616
21.576,67.742
21.579,67.676
21.595,67.789
21.595,67.924
21.611,67.497
21.612,67.74
21.613,67.616
21.631,67.908
21.635,67.45
21.644,67.718
21.651,67.706
21.662,67.518
21.678,68.015
21.686,67.782
21.699,67.733
21.702,67.793
21.705,67.356
21.704,67.501
21.725,68.052
21.725,67.87
21.739,67.739
21.739,67.71
21.756,67.786
21.763,67.989
21.77,67.812
21.778,67.812
21.793,67.683
21.793,67.715
21.804,67.918
21.814,67.733
21.817,67.721
21.836,67.475
21.831,67.76
21.835,67.673
21.848,67.715
21.85,67.749
21.865,67.647
21.87,67.84
21.871,68.003
21.867,67.773
21.881,67.505
21.894,67.682
21.907,67.621
21.914,67.64
21.927,67.875
21.931,67.917
21.946,67.848
21.944,67.924
21.944,68.021
21.952,67.746
21.968,67.853
21.984,67.687
21.991,67.998
22.002,67.774
22.001,67.938
22.022,67.918
22.02,67.729
22.035,67.867
22.036,68.025
22.051,67.631
22.055,67.854
22.057,67.89
22.069,67.815
22.074,68.083
22.084,68.181
22.094,67.905
22.094,67.753
22.109,67.947
22.112,67.728
22.13,67.642
22.148,67.678
22.155,68.029
22.164,67.904
22.172,67.946
22.176,67.781
22.188,67.816
22.196,68.105
22.205,67.895
22.207,68.091
22.21,67.913
22.224,67.766
22.231,67.807
22.248,67.712
22.261,68.04
22.264,67.683
22.278,67.994
22.285,67.872
22.296,67.691
22.303,67.775
22.31,68.137
22.321,67.961
22.324,68.109
22.339,67.89
22.34,68.018
22.359,68.065
