# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-145759 150Mg 500NaCl #002-001
# Original file ID: E8B86DD2-BB2C-4965-937A-4BA90B200509
Bead-to-bead distance (um),Force (pN)
17.866,2.8336
17.865,3.0171
17.879,2.9296
17.881,3.0116
17.893,2.9974
17.901,2.8908
17.907,2.8796
17.923,2.9808
17.939,3.3075
17.941,3.2624
17.956,3.307
17.955,3.3923
17.971,3.3883
17.973,3.2678
17.99,3.356
17.993,3.3886
18.007,3.5013
18.005,3.4342
18.025,3.3751
18.026,3.3173
18.026,3.4527
18.027,3.3353
18.036,3.4765
18.047,3.4012
18.066,3.5699
18.064,3.3915
18.064,3.6936
18.084,3.7527
18.098,3.577
18.103,3.6185
18.116,3.6194
18.123,3.6779
18.118,3.5767
18.119,3.7885
18.124,3.8184
18.135,3.6934
18.141,3.8278
18.155,3.802
18.172,3.7845
18.176,3.8999
18.188,3.8697
18.192,3.837
18.204,3.9248
18.213,3.9149
18.22,3.9119
18.233,4.0404
18.235,4.1143
18.252,4.0936
18.253,3.9166
18.269,4.188
18.271,4.1813
18.269,4.1408
18.287,4.2645
18.287,4.1043
18.302,4.4187
18.314,4.3201
18.324,4.3532
18.322,4.3955
18.326,4.529
18.341,4.4421
18.361,4.6083
18.359,4.3897
18.376,4.5117
18.38,4.5728
18.392,4.7575
18.398,4.8653
18.4,4.5544
18.413,4.7505
18.417,4.858
18.414,4.6217
18.435,4.769
18.436,4.908
18.45,4.9015
18.452,4.9369
18.464,5.0322
18.471,4.9724
18.483,5.1833
18.491,5.0244
18.498,5.0743
18.511,5.2059
18.51,5.1761
18.526,5.2582
18.523,5.3401
18.542,5.2968
18.542,5.4117
18.545,5.3032
18.554,5.6304
18.566,5.6137
18.568,5.5391
18.581,5.6382
18.581,5.728
18.584,5.6618
18.597,5.9781
18.6,5.8578
18.615,5.8381
18.615,6.0477
18.631,5.9087
18.65,6.3109
18.654,6.3551
18.662,6.3469
18.668,6.1599
18.667,6.2972
18.675,6.3956
18.684,6.5302
18.685,6.729
18.702,6.7401
18.701,6.6406
18.713,7.0086
18.724,6.9324
18.731,6.8991
18.738,7.0885
18.749,7.1227
18.755,7.4097
18.766,7.1308
18.772,7.3931
18.777,7.1339
18.792,7.4607
18.79,7.4997
18.79,7.5443
18.803,7.5381
18.81,7.8582
18.82,7.7265
18.826,7.7731
18.824,8.0171
18.831,7.9048
18.843,8.1811
18.843,8.3415
18.861,8.3552
18.858,8.6069
18.876,8.5739
18.892,9.1629
18.891,9.0197
18.906,8.8022
18.911,9.0012
18.911,9.0646
18.917,9.2593
18.928,9.3925
18.93,9.627
18.939,9.6121
18.945,9.6744
18.959,9.8159
18.96,9.9754
18.978,10.234
18.974,10.252
18.993,10.427
18.993,10.8
19.008,10.807
19.007,10.661
19.021,10.722
19.029,10.987
19.025,11.289
19.031,11.255
19.041,11.495
19.045,11.762
19.059,11.558
19.058,11.765
19.057,11.9
19.073,12.305
19.074,12.273
19.087,12.54
19.093,12.81
19.105,13.208
19.116,13.175
19.117,13.59
19.129,13.31
19.137,13.448
